brand,model,motor,year,mileage,fuel,price
Ford,Mustang,BVA GT V8 5.0L SHADOW EDITION,2018,28905,Essence,60140
Ford,Mustang,2.3 ECOBOOST 290 ECOBOOST,2018,19184,Essence,46850
Ford,Mustang,5.0 V8 421 GT,2018,43050,Essence,49320
Ford,Mustang,GT FASTBACK 5.0L V8 450CH,2020,56840,Essence,57410
Ford,Mustang,BVA GT V8 5.0L SHADOW EDITION,2018,26790,Essence,55740
Ford,Mustang,5.0 V8 421 GT,2017,39022,Essence,47850
Ford,Mustang,5.0 V8 421 GT,2018,40308,Essence,50040
Ford,Mustang,BVA GT CABRIOLET V8 5.0L,2017,49375,Essence,62370
Ford,Mustang,5.0 V8 421 GT,2018,61752,Essence,56910
Ford,Mustang,5.0 V8 421 GT,2018,28500,Essence,55270
Ford,Mustang,5.0 V8 450 GT,2019,33099,Essence,60870
Ford,Mustang,BVA FASTBACK,2019,43990,Essence,43350
Ford,Mustang,5.0 V8 421 GT,2016,36915,Essence,48040
Ford,Mustang,5.0 V8 421 GT,2017,27120,Essence,53670
Ford,Mustang,5.0 V8 421 GT,2018,32200,Essence,57480
Ford,Mustang,5.0 V8 421 GT,2018,49380,Essence,51460
Ford,Mustang,5.0 421 GT,2017,35112,Essence,46730
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2016,44915,Essence,45850
Ford,Mustang,5.0 V8 421 GT,2017,38804,Essence,51210
Ford,Mustang,VI FASTBACK V8 AUTO,2018,43581,Essence,55480
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,43400,Essence,48340
Ford,Mustang,5.0 V8 421 BLACK SHADOW EDITION,2018,48800,Essence,54290
Ford,Mustang,5.0 V8 421 GT,2017,31968,Essence,49140
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2018,37700,Essence,46510
Ford,Mustang,BVA GT CABRIOLET V8 5.0L,2017,41870,Essence,52890
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,29363,Essence,47740
Ford,Mustang,BVA FASTBACK,2019,46065,Essence,45390
Ford,Mustang,5.0 V8 421 GT,2018,35042,Essence,54970
Ford,Mustang,5.0 V8 421 GT,2018,29211,Essence,43850
Ford,Mustang,5.0 V8 421 GT,2017,37584,Essence,55670
Ford,Mustang,5.0 V8 421 GT,2017,28291,Essence,50860
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,22812,Essence,47180
Ford,Mustang,5.0 V8 421 GT,2017,38804,Essence,51210
Ford,Mustang,VI FASTBACK 5.0 V8 RTR BV6,2018,53110,Essence,53670
Ford,Mustang,5.0 V8 421 BLUE EDITION,2019,51920,Essence,58410
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,19440,Essence,39850
Ford,Mustang,5.0 V8 460 MACH 1,2017,36965,Essence,52200
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2016,29103,Essence,44680
Ford,Mustang,5.0 V8 421 GT,2011,58310,Essence,44010
Ford,Mustang,5.0 V8 421 GT,2016,18826,Essence,54720
Ford,Mustang,2.3 ECOBOOST 317 ECOBOOST,2017,39900,Essence,42160
Ford,Mustang,5.0 V8 421 BLACK SHADOW EDITION,2018,40425,Essence,46830
Ford,Mustang,5.0 V8 421 GT,2017,39600,Essence,54450
Ford,Mustang,5.0 V8 421 BLACK SHADOW EDITION,2016,46740,Essence,51860
Ford,Mustang,5.0 V8 421 GT,2016,26577,Essence,47410
Ford,Mustang,5.0 V8 421 GT,2017,23375,Essence,59750
Ford,Mustang,4.0 V6 210 SOHC,2009,38980,Essence,29420
Ford,Mustang,5.4 V8 540 GT 500 SHELBY,2013,45100,Essence,38480
Ford,Mustang,5.0 V8 450 GT,2019,30355,Essence,55550
Ford,Mustang,5.0 V8 421 GT,2016,23596,Essence,45560
Ford,Mustang,5.0 V8 421 GT,2017,57171,Essence,53700
Ford,Mustang,5.0 V8 450 GT,2018,30261,Essence,58880
